food_name,calories_kcal,protein_g,carbs_g,fat_g,sodium_mg,sugar_g
"BUTTER,WITH SALT",717.0,0.85,0.06,81.11,714.0,0.0
"BUTTER,WHIPPED,WITH SALT",717.0,0.85,0.06,81.11,827.0,0.0
"BUTTER OIL,ANHYDROUS",876.0,0.28,0.0,99.48,2.0,0.0
"CHEESE,BLUE",353.0,21.4,2.34,28.74,1395.0,0.0
"CHEESE,BRICK",371.0,23.24,2.79,29.68,560.0,0.0
"CHEESE,BRIE",334.0,20.75,0.45,27.68,629.0,0.0
"CHEESE,CAMEMBERT",300.0,19.8,0.46,24.26,842.0,0.0
"CHEESE,CARAWAY",376.0,25.18,3.06,29.2,690.0,0.0
"CHEESE,CHEDDAR",403.0,24.9,1.28,33.14,621.0,0.0
"CHEESE,CHESHIRE",387.0,23.37,4.78,30.6,700.0,0.0
"CHEESE,COLBY",394.0,23.76,2.57,32.11,604.0,0.0
"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",98.0,11.12,3.38,4.3,364.0,0.0
"CHEESE,COTTAGE,CRMD,W/FRUIT",97.0,10.69,4.61,3.85,344.0,0.0
"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",72.0,10.34,6.66,0.29,330.0,0.0
"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",86.0,11.83,3.66,2.45,330.0,0.0
"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",72.0,12.39,2.72,1.02,406.0,0.0
"CHEESE,CREAM",342.0,5.93,4.07,34.24,321.0,0.0
"CHEESE,EDAM",357.0,24.99,1.43,27.8,965.0,0.0
"CHEESE,FETA",264.0,14.21,4.09,21.28,1116.0,0.0
"CHEESE,FONTINA",389.0,25.6,1.55,31.14,800.0,0.0
"CHEESE,GJETOST",466.0,9.65,42.65,29.51,600.0,0.0
"CHEESE,GOUDA",356.0,24.94,2.22,27.44,819.0,0.0
"CHEESE,GRUYERE",413.0,29.81,0.36,32.34,336.0,0.0
"CHEESE,LIMBURGER",327.0,20.05,0.49,27.25,800.0,0.0
"CHEESE,MONTEREY",373.0,24.48,0.68,30.28,536.0,0.0
"CHEESE,MOZZARELLA,WHL MILK",300.0,22.17,2.19,22.35,627.0,0.0
"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",318.0,21.6,2.47,24.64,415.0,0.0
"CHEESE,MOZZARELLA,PART SKIM MILK",254.0,24.26,2.77,15.92,619.0,0.0
"CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST",302.0,25.96,3.83,20.03,652.0,0.0
"CHEESE,MUENSTER",368.0,23.41,1.12,30.04,628.0,0.0
"CHEESE,NEUFCHATEL",253.0,9.15,3.59,22.78,334.0,0.0
"CHEESE,PARMESAN,GRATED",431.0,38.46,4.06,28.61,1529.0,0.0
"CHEESE,PARMESAN,HARD",392.0,35.75,3.22,25.83,1602.0,0.0
"CHEESE,PORT DE SALUT",352.0,23.78,0.57,28.2,534.0,0.0
"CHEESE,PROVOLONE",351.0,25.58,2.14,26.62,876.0,0.0
"CHEESE,RICOTTA,WHOLE MILK",174.0,11.26,3.04,12.98,84.0,0.0
"CHEESE,RICOTTA,PART SKIM MILK",138.0,11.39,5.14,7.91,125.0,0.0
"CHEESE,ROMANO",387.0,31.8,3.63,26.94,1200.0,0.0
"CHEESE,ROQUEFORT",369.0,21.54,2.0,30.64,1809.0,0.0
"CHEESE,SWISS",380.0,26.93,5.38,27.8,192.0,0.0
"CHEESE,TILSIT",340.0,24.41,1.88,25.98,753.0,0.0
"CHEESE,PAST PROCESS,AMERICAN,FORT W/ VITAMIN D",371.0,18.13,3.7,31.79,1671.0,0.0
"CHEESE,PAST PROCESS,PIMENTO",375.0,22.13,1.73,31.2,1428.0,0.0
"CHEESE,PAST PROCESS,SWISS",334.0,24.73,2.1,25.01,1370.0,0.0
"CHEESE FD,COLD PK,AMERICAN",331.0,19.66,8.32,24.46,966.0,0.0
"CHEESE FD,PAST PROCESS,AMERICAN,VITAMIN D FORT",330.0,16.86,8.56,25.63,1284.0,0.0
"CHEESE FD,PAST PROCESS,SWISS",323.0,21.92,4.5,24.14,1552.0,0.0
"CHEESE SPRD,PAST PROCESS,AMERICAN",290.0,16.41,8.73,21.23,1625.0,0.0
"CREAM,FLUID,HALF AND HALF",130.0,2.96,4.3,11.5,41.0,0.0
"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",195.0,2.7,3.66,19.31,40.0,0.0
"CREAM,FLUID,LT WHIPPING",292.0,2.17,2.96,30.91,34.0,0.0
"CREAM,FLUID,HVY WHIPPING",345.0,2.05,2.79,37.0,38.0,0.0
"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED",257.0,3.2,12.49,22.22,8.0,0.0
"CREAM,SOUR,RED FAT,CULTURED",135.0,2.94,4.26,12.0,89.0,0.0
"CREAM,SOUR,CULTURED",193.0,2.07,2.88,19.73,80.0,0.0
EGGNOG,88.0,4.55,8.05,4.19,54.0,0.0
"SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE",178.0,3.25,4.68,16.57,48.0,0.0
"MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS",63.0,3.33,4.74,3.46,57.0,0.0
"MILK,FILLED,FLUID,W/LAURIC ACID OIL",63.0,3.33,4.74,3.4,57.0,0.0
"CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT",136.0,1.0,11.38,9.97,79.0,0.0
"CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE",136.0,1.0,11.38,9.97,79.0,0.0
"CREAM SUBSTITUTE,POWDERED",545.0,4.79,54.88,35.48,181.0,0.0
"DESSERT TOPPING,POWDERED",577.0,4.9,52.54,39.92,122.0,0.0
"DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK",194.0,3.61,17.13,12.72,66.0,0.0
"DESSERT TOPPING,PRESSURIZED",264.0,0.98,16.07,22.3,62.0,0.0
"DESSERT TOPPING,SEMI SOLID,FRZ",318.0,1.25,23.05,25.31,25.0,0.0
"SOUR CRM,IMITN,CULTURED",208.0,2.4,6.63,19.52,102.0,0.0
"MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",61.0,1.75,6.16,3.41,78.0,0.0
"MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D",61.0,3.15,4.8,3.25,43.0,0.0
"MILK,PRODUCER,FLUID,3.7% MILKFAT",64.0,3.28,4.65,3.66,49.0,0.0
"MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D",50.0,3.3,4.8,1.98,47.0,0.0
"MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED NFMS, VIT A & VIT D",51.0,3.48,4.97,1.92,52.0,0.0
"MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ ADDED VIT A & D",56.0,3.95,5.49,1.98,59.0,0.0
"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D",42.0,3.37,4.99,0.97,44.0,0.0
"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADD NONFAT MILK SOL,VIT A/ D",43.0,3.48,4.97,0.97,52.0,0.0
"MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ ADDED VIT A & D",48.0,3.93,5.52,1.17,58.0,0.0
