food_name,calories_kcal,protein_g,carbs_g,fat_g,sodium_mg,sugar_g,calorie_density,protein_ratio,carbs_ratio,fats_ratio,sugar_ratio
"BUTTER,WITH SALT",717.0,0.85,0.06,81.11,714.0,0.0,7.17,0.11854951168961017,0.008368200825148954,11.31241281546386,0.0
"BUTTER,WHIPPED,WITH SALT",717.0,0.85,0.06,81.11,827.0,0.0,7.17,0.11854951168961017,0.008368200825148954,11.31241281546386,0.0
"BUTTER OIL,ANHYDROUS",876.0,0.28,0.0,99.48,2.0,0.0,8.76,0.03196347028314672,0.0,11.356164370597986,0.0
"CHEESE,BLUE",353.0,21.4,2.34,28.74,1395.0,0.0,3.53,6.062322929001917,0.6628895165357238,8.14164303642594,0.0
"CHEESE,BRICK",371.0,23.24,2.79,29.68,560.0,0.0,3.71,6.2641509265117215,0.7520215613153058,7.999999978436658,0.0
"CHEESE,BRIE",334.0,20.75,0.45,27.68,629.0,0.0,3.34,6.212574831698878,0.13473053851877084,8.287425124887948,0.0
"CHEESE,CAMEMBERT",300.0,19.8,0.46,24.26,842.0,0.0,3.0,6.599999978,0.15333333282222225,8.086666639711112,0.0
"CHEESE,CARAWAY",376.0,25.18,3.06,29.2,690.0,0.0,3.76,6.696808492827637,0.8138297850696017,7.765957426154369,0.0
"CHEESE,CHEDDAR",403.0,24.9,1.28,33.14,621.0,0.0,4.03,6.178660034296128,0.3176178652168291,8.223325041629465,0.0
"CHEESE,CHESHIRE",387.0,23.37,4.78,30.6,700.0,0.0,3.87,6.038759674318451,1.2351421156714675,7.906976723754583,0.0
"CHEESE,COLBY",394.0,23.76,2.57,32.11,604.0,0.0,3.94,6.030456837486151,0.652284262303847,8.149746172208767,0.0
"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",98.0,11.12,3.38,4.3,364.0,0.0,0.98,11.346938659725115,3.4489795566430654,4.387755057267805,0.0
"CHEESE,COTTAGE,CRMD,W/FRUIT",97.0,10.69,4.61,3.85,344.0,0.0,0.97,11.020618443086407,4.7525772705919875,3.9690721240301845,0.0
"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",72.0,10.34,6.66,0.29,330.0,0.0,0.72,14.361110911651236,9.249999871527779,0.402777772183642,0.0
"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",86.0,11.83,3.66,2.45,330.0,0.0,0.86,13.75581379353705,4.255813904002164,2.8488371761763123,0.0
"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",72.0,12.39,2.72,1.02,406.0,0.0,0.72,17.208333094328708,3.7777777253086433,1.4166666469907412,0.0
"CHEESE,CREAM",342.0,5.93,4.07,34.24,321.0,0.0,3.42,1.7339181235850345,1.1900584760524606,10.011695877158784,0.0
"CHEESE,EDAM",357.0,24.99,1.43,27.8,965.0,0.0,3.57,6.999999980392156,0.4005602229676184,7.787114824125729,0.0
"CHEESE,FETA",264.0,14.21,4.09,21.28,1116.0,0.0,2.64,5.382575737187214,1.5492424183740816,8.060606030073462,0.0
"CHEESE,FONTINA",389.0,25.6,1.55,31.14,800.0,0.0,3.89,6.580976846835536,0.3984575825232453,8.005141367596037,0.0
"CHEESE,GJETOST",466.0,9.65,42.65,29.51,600.0,0.0,4.66,2.0708154461999673,9.1523604953812,6.332618012161764,0.0
"CHEESE,GOUDA",356.0,24.94,2.22,27.44,819.0,0.0,3.56,7.005617957849389,0.6235955038663048,7.70786514688802,0.0
"CHEESE,GRUYERE",413.0,29.81,0.36,32.34,336.0,0.0,4.13,7.2179176580679965,0.08716707000685939,7.830508455616203,0.0
"CHEESE,LIMBURGER",327.0,20.05,0.49,27.25,800.0,0.0,3.27,6.131498452197253,0.14984709434297525,8.333333307849134,0.0
"CHEESE,MONTEREY",373.0,24.48,0.68,30.28,536.0,0.0,3.73,6.563002663369966,0.18230562953805463,8.117962444723961,0.0
"CHEESE,MOZZARELLA,WHL MILK",300.0,22.17,2.19,22.35,627.0,0.0,3.0,7.389999975366668,0.7299999975666667,7.4499999751666675,0.0
